Pixel_Index,Ru,Rh,Pd,Ir,Pt
312,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
313,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
314,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
315,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
316,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
317,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
318,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
319,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
320,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
321,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
322,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
323,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
324,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
325,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
326,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
327,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
328,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
329,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
330,0.193359375,0.19921875,0.203125,0.197265625,0.20703125
331,0.19140625,0.19921875,0.205078125,0.197265625,0.20703125
332,0.1875,0.19921875,0.205078125,0.197265625,0.2109375
333,0.185546875,0.201171875,0.20703125,0.1953125,0.2109375
334,0.18359375,0.201171875,0.20703125,0.1953125,0.212890625
335,0.18359375,0.201171875,0.20703125,0.193359375,0.21484375
336,0.185546875,0.201171875,0.20703125,0.193359375,0.212890625
337,0.189453125,0.201171875,0.205078125,0.193359375,0.2109375
338,0.19140625,0.201171875,0.205078125,0.193359375,0.208984375
339,0.193359375,0.201171875,0.203125,0.193359375,0.208984375
340,0.1953125,0.201171875,0.203125,0.1953125,0.205078125
341,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
342,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
343,0.193359375,0.19921875,0.203125,0.1953125,0.208984375
344,0.193359375,0.19921875,0.203125,0.1953125,0.208984375
345,0.193359375,0.19921875,0.203125,0.1953125,0.208984375
346,0.193359375,0.19921875,0.203125,0.1953125,0.208984375
347,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
348,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
349,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
350,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
351,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
352,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
353,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
354,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
355,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
356,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
357,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
358,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
359,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
360,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
361,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
362,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
363,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
364,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
365,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
366,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
367,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
368,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
369,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
370,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
371,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
372,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
373,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
374,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
375,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
376,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
377,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
378,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
379,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
380,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
381,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
382,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
383,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
384,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
385,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
386,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
387,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
388,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
389,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
390,0.193359375,0.19921875,0.203125,0.197265625,0.20703125
391,0.19140625,0.19921875,0.205078125,0.197265625,0.20703125
392,0.185546875,0.197265625,0.20703125,0.197265625,0.212890625
393,0.1796875,0.19921875,0.208984375,0.197265625,0.21484375
394,0.17578125,0.19921875,0.212890625,0.193359375,0.21875
395,0.171875,0.203125,0.21484375,0.19140625,0.21875
