Local_Index,Global_Index,Ru,Rh,Pd,Ir,Pt
433,578,0.0234375,0.177734375,0.359375,0.07421875,0.365234375
434,579,0.0234375,0.2109375,0.365234375,0.02734375,0.373046875
435,580,0.0546875,0.23828125,0.337890625,0.025390625,0.34375
436,581,0.107421875,0.2421875,0.291015625,0.060546875,0.298828125
437,582,0.158203125,0.224609375,0.24609375,0.119140625,0.251953125
438,583,0.17578125,0.2109375,0.22265625,0.1640625,0.2265625
439,584,0.177734375,0.203125,0.212890625,0.1875,0.21875
440,585,0.171875,0.203125,0.212890625,0.1953125,0.216796875
441,586,0.162109375,0.203125,0.21484375,0.19921875,0.220703125
442,587,0.14453125,0.20703125,0.220703125,0.201171875,0.2265625
443,588,0.1328125,0.212890625,0.2265625,0.19921875,0.228515625
444,589,0.1328125,0.21484375,0.2265625,0.1953125,0.23046875
445,590,0.146484375,0.212890625,0.22265625,0.19140625,0.2265625
446,591,0.166015625,0.208984375,0.21484375,0.19140625,0.21875
447,592,0.177734375,0.205078125,0.2109375,0.19140625,0.21484375
448,593,0.185546875,0.203125,0.20703125,0.193359375,0.2109375
449,594,0.19140625,0.201171875,0.205078125,0.1953125,0.20703125
470,625,0.193359375,0.197265625,0.203125,0.1953125,0.2109375
471,626,0.19140625,0.197265625,0.205078125,0.1953125,0.2109375
472,627,0.189453125,0.1953125,0.20703125,0.1953125,0.212890625
473,628,0.1875,0.197265625,0.208984375,0.19140625,0.21484375
474,629,0.1875,0.19921875,0.2109375,0.1875,0.21484375
475,630,0.1875,0.201171875,0.212890625,0.181640625,0.216796875
476,631,0.189453125,0.201171875,0.2109375,0.181640625,0.216796875
477,632,0.189453125,0.19921875,0.2109375,0.185546875,0.21484375
478,633,0.189453125,0.1953125,0.208984375,0.19140625,0.21484375
479,634,0.185546875,0.1875,0.212890625,0.197265625,0.216796875
480,635,0.177734375,0.166015625,0.224609375,0.205078125,0.2265625
481,636,0.14453125,0.142578125,0.248046875,0.2109375,0.25390625
482,637,0.078125,0.126953125,0.294921875,0.201171875,0.298828125
483,638,0.0234375,0.126953125,0.359375,0.125,0.365234375
484,639,0.01171875,0.14453125,0.40234375,0.03125,0.41015625
485,640,0.01171875,0.173828125,0.404296875,0.0,0.41015625
486,641,0.0234375,0.216796875,0.376953125,0.0,0.3828125
487,642,0.08203125,0.240234375,0.322265625,0.025390625,0.330078125
488,643,0.14453125,0.23046875,0.263671875,0.091796875,0.26953125
489,644,0.16796875,0.2109375,0.228515625,0.154296875,0.23828125
490,645,0.171875,0.203125,0.21875,0.18359375,0.22265625
491,646,0.158203125,0.19921875,0.220703125,0.197265625,0.224609375
492,647,0.12890625,0.203125,0.23046875,0.203125,0.234375
493,648,0.08984375,0.2109375,0.24609375,0.201171875,0.251953125
494,649,0.068359375,0.22265625,0.2578125,0.19140625,0.259765625
495,650,0.068359375,0.23046875,0.259765625,0.177734375,0.263671875
496,651,0.09375,0.23046875,0.25,0.169921875,0.255859375
497,652,0.13671875,0.220703125,0.232421875,0.171875,0.23828125
